,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires
11,Data manager,"
Actualisé le 25 janvier 2023
",91 - LONGPONT SUR ORGE,"python, sql, outils, marketing, git, sas, power bi, tableau, crm","
AZ CONSULTING
","CDI
 - Temps plein","Salaire brut : Annuel de 65000,00 Euros à 72000,00 Euros sur 12 mois"
12,Human Resources Data Analyst Junior (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 03,"excel, ios","
SINTEL
","CDI
 - Temps plein","Salaire brut : Annuel de 36000,00 Euros à 40000,00 Euros sur 12 mois"
13,Chargé.e de production - Mise en réseau DATA (H/F),"
Actualisé le 25 janvier 2023
",77 - CHAMPS SUR MARNE,"communication, support, réseaux","
RHON'TELECOM
","CDI
 - Temps plein","Salaire brut : Annuel de 28000,00 Euros à 34000,00 Euros sur 12 mois"
14,Dessinateur Projeteur CFO/CFA - Activité DATA CENTER (H/F),"
Actualisé le 18 janvier 2023
",94 - IVRY SUR SEINE,,"
PROJEX
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros sur 12 mois"
15,Finance & Operations Data Analyst (H/F),"
Actualisé le 17 janvier 2023
",92 - BOULOGNE BILLANCOURT,"outils, business intelligence, acquisition, power bi, tableau, moe, moa, excel, crm","
ACCENTA
","CDI
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 55000,00 Euros sur 12 mois"
16,Data analyst   Deals (M&A)   CDI   (H/F),"
Actualisé le 26 janvier 2023
",92 - NEUILLY SUR SEINE,"python, communication, acquisition, tableau, excel, ios","
PRICEWATERHOUSECOOPERS ADVISORY
","CDI
 - Temps plein","Salaire brut : Annuel de 40500,00 Euros à 48000,00 Euros sur 12 mois"
17,Data analyst,"
Actualisé le 26 janvier 2023
",92 - PUTEAUX,"communication, réseaux, excel, crm","
DATA SWING
","Intérim
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 55000,00 Euros sur 12 mois"
18,Data Analyst H/F,"
Actualisé le 25 janvier 2023
",75 - PARIS 08,"sql, communication, bases de données, power bi, tableau, vba, excel, salesforce, crm","
TRUESON FRANCE
","Intérim
 - Temps plein","Salaire brut : Annuel de 30000,00 Euros à 35000,00 Euros sur 12 mois"
19,Responsable CRM & Data client H/F,"
Actualisé le 24 janvier 2023
",91 - EVRY COURCOURONNES,"outils, communication, marketing, git, support, web, moa, excel, salesforce, crm","
ANIMALIS
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros sur 12 mois"
20,Consultant Business Intelligence & Data H/F,"
Actualisé le 23 janvier 2023
",78 - PLAISIR,"sql, outils, saas, business intelligence, sap, power bi, tableau","
JCDECAUX FRANCE
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 60000,00 Euros sur 12 mois"
21,"Chef/cheffe de projet statistiques,data,conception outils   (H/F)","
Actualisé le 26 janvier 2023
",75 - PARIS 12,"sql, outils, git, bases de données, java, power bi, sql server, c#, javascript, excel","
UNIFORMATION
","CDD
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros sur 13.5 mois"
22,Data Manager (H/F),"
Actualisé le 11 janvier 2023
",78 - POISSY,"sql, data management, git, sécurité, crm","
ADSEARCH
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros sur 12 mois"
23,Data analyst (H/F),"
Actualisé le 23 janvier 2023
",92 - NANTERRE,outils,"
SPIE BATIGNOLLES
","CDI
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 40000,00 Euros sur 13 mois"
24,INGENIEUR-E DATA - DATAOPS F/H,"
Actualisé le 04 janvier 2023
",77 - CHAMPS SUR MARNE,"python, sql, outils, git, bases de données, support, devops, excel, ios","
CTRE SCIENTIFIQUE TECHNIQUE DU BATIMENT
","CDI
 - Temps plein","Salaire brut : Annuel de 46000,00 Euros à 50000,00 Euros sur 12 mois"
25,Data scientist,"
Actualisé le 25 janvier 2023
",75 - PARIS 09,"python, test, big data, saas, data management, scala","
POLYCONSEIL
","CDD
 - Temps plein","Salaire brut : Annuel de 36000,00 Euros à 45000,00 Euros sur 12 mois"
26,Chef de projet Exploitation Data Center            (H/F),"
Actualisé le 23 janvier 2023
",92 - BOULOGNE BILLANCOURT,"outils, support, excel","
PRYAM CONSULTING
","CDI
 - Temps plein","Salaire brut : Annuel de 55000,00 Euros à 60000,00 Euros sur 12 mois"
27,Ingénieur Data et intégration des données H/F,"
Actualisé le 25 janvier 2023
",92 - PUTEAUX,"sql, bases de données, web, oracle, cloud, etl","
LOXAM
","CDI
 - Temps plein","Salaire brut : Annuel de 41000,00 Euros à 43000,00 Euros sur 13 mois"
28,Cloud Data Architect  (H/F),"
Actualisé le 19 janvier 2023
",75 - PARIS 14,"outils, communication, support, web, cloud, devops, sécurité","
DCUBE
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 55000,00 Euros sur 12 mois"
29,Cloud Data Architect  (H/F),"
Actualisé le 19 janvier 2023
",75 - PARIS 14,"outils, communication, support, web, cloud, devops, sécurité","
DCUBE
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 55000,00 Euros sur 12 mois"
30,Data analyst  (H/F),"
Actualisé le 26 janvier 2023
",Ile-de-France,"python, sql, agile, test, big data, recette, outils, validation, cloud, tableau, php","
TSM CONSULTING
","CDI
 - Temps plein","Salaire brut : Annuel de 30000,00 Euros à 34000,00 Euros sur 12 mois"
31,Data scientist (H/F),"
Actualisé le 25 janvier 2023
",92 - PUTEAUX,"sql, outils, etl","
DATA SWING
","CDI
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 55000,00 Euros sur 12 mois"
32,Global Product Owner Data Analytics H/F,"
Actualisé le 25 janvier 2023
",92 - CHATILLON,"agile, test, recette, sécurité","
AXA PARTNERS HOLDING SA
","CDD
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 70000,00 Euros sur 12 mois"
33,Data analyst,"
Actualisé le 19 janvier 2023
",92 - CHATILLON,"sql, test, big data, nosql, git, sas, power bi, cloud, tableau, devops, spark","
AXA PARTNERS HOLDING SA
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 50000,00 Euros sur 12 mois"
34,Data Analyst expérimenté  (H/F),"
Actualisé le 25 janvier 2023
",Ile-de-France,"python, agile, test, big data, outils, scrum, etl, spark","
SAS K-LAGAN FRANCE
","CDD
 - Temps plein",Salaire brut : Annuel de 42000 Euros à 60000 Euros sur 12 mois
35,Data manager (H/F),"
Actualisé le 24 janvier 2023
",75 - PARIS 13,"business intelligence, bases de données, power bi","
HENEO
","CDI
 - Temps plein",Salaire brut : Annuel de 49000 Euros à 51000 Euros sur 12 mois
36,Consultant débutant en data sciences F/H - CDI - Paris (92) (H/F),"
Actualisé le 25 janvier 2023
",Ile-de-France,"marketing, crm","
AKTISEA
","CDD
 - Non renseigné","Salaire brut : Annuel de 25000,00 Euros à 30000,00 Euros sur 12 mois"
37,Délégué à la protection des données H/F,"
Actualisé le 25 janvier 2023
",78 - VERSAILLES,sécurité,"
C.I.G. DE LA GRANDE COURONNE
","CDI
 - Temps plein","Salaire brut : Annuel de 25000,00 Euros à 40000,00 Euros sur 12 mois"
38,INTENDANT DE DONNÉES - SAPAS (H/F),"
Actualisé le 25 janvier 2023
",94 - CRETEIL,,"
UPEC
","CDI
 - Temps plein","Salaire brut : Mensuel de 2225,00 Euros à 3800,00 Euros sur 12 mois"
39,Analyste commercial (H/F),"
Actualisé le 25 janvier 2023
",92 - BOULOGNE BILLANCOURT,"support, excel, crm","
SARAWAK PARIS
","CDI
 - Temps plein","Salaire brut : Annuel de 24000,00 Euros à 26000,00 Euros sur 12 mois"
40,INGENIEUR / DEVELOPPEUR BI  (H/F),"
Actualisé le 26 janvier 2023
",93 - ST OUEN SUR SEINE,"sql, test, outils, sas, power bi, sql server, tableau, excel, etl","
GROUPE GLI
","CDD
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 45000,00 Euros sur 12 mois"
41,"Consultant Risques, Conformité & Contrôle Interne bancaire H/F","
Actualisé le 25 janvier 2023
",75 - PARIS 02,"test, recette, communication, support","
F.B.H.ASSOCIES
","CDI
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 90000,00 Euros sur 12 mois"
42,Responsable d'application informatique (H/F),"
Actualisé le 23 janvier 2023
",75 - PARIS 08,"outils, bases de données, sap, tableau, sécurité, salesforce","
Brainlogic
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 65000,00 Euros sur 12 mois"
43,NUM23 Chef de projet informatique ETL (H/F),"
Actualisé le 23 janvier 2023
",75 - PARIS 11,etl,"
TENOR
","CDI
 - Temps plein","Salaire brut : Annuel de 25000,00 Euros à 36000,00 Euros sur 12 mois"
44,Ingénieur Homologations Data     (H/F),"
Actualisé le 26 janvier 2023
",93 - ST DENIS,"test, communication, réseaux, ios","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
45,Responsable Data management   (H/F),"
Actualisé le 25 janvier 2023
",93 - ST DENIS,"support, acquisition, moe","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
46,Ingénieur Homologations Data     (H/F),"
Actualisé le 25 janvier 2023
",93 - ST DENIS,"test, communication, réseaux, ios","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
47,DATA ENGINEER RISQUE DE CREDIT BANCAIRE F/H  (H/F),"
Actualisé le 24 janvier 2023
",75 - PARIS 16,"python, agile, sas","
SAS K-LAGAN FRANCE
","CDD
 - Temps plein",Salaire brut : A NEGOCIER SELON PROFIL
48,Data analyst    (H/F),"
Actualisé le 25 janvier 2023
",92 - NEUILLY SUR SEINE,"big data, outils, cloud","
JEMS DATAFACTORY
","CDI
 - Temps plein",Salaire brut : selon profil
49,Data analyst    (H/F),"
Actualisé le 25 janvier 2023
",92 - NEUILLY SUR SEINE,"big data, outils, cloud","
JEMS DATAFACTORY
","CDI
 - Temps plein",Salaire brut : selon profil
50,Développeur / Développeuse Big Data        (H/F),"
Actualisé le 25 janvier 2023
",92 - NEUILLY SUR SEINE,"big data, outils, cloud, linux, devops","
JEMS DATAFACTORY
","CDI
 - Temps plein",Salaire brut : selon profil
51,Référent ou référente valorisation de données data office (H/F),"
Actualisé le 19 janvier 2023
",93 - ST DENIS,"agile, communication, acquisition, devops, sécurité","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
52,Data analyst GOOGLE DATA STUDIO (H/F),"
Actualisé le 26 janvier 2023
",75 - PARIS 16,"test, recette, marketing, git, sap","
SAS K-LAGAN FRANCE
","CDI
 - Temps plein",Salaire brut : A NEGOCIER SELON PROFIL
53,Data Ingénieur Cloud Azure  (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 16,"hadoop, sap, cloud","
SAS K-LAGAN FRANCE
","CDI
 - Temps plein",Salaire brut : A NEGOCIER SELON PROFIL
54,Data Analyst Finance Débutant ou Junior    (H/F),"
Actualisé le 26 janvier 2023
",92 - COURBEVOIE,"python, sql, agile, outils, bases de données, power bi, sql server, c#, data quality","
SKYTECH CONSULTING
","CDI
 - Temps plein",Salaire brut : 42K
55,Data analyst,"
Actualisé le 25 janvier 2023
",75 - PARIS 09,"python, sql, agile, outils, marketing, git, bases de données, tableau",,"CDD
 - Temps plein",Salaire brut : Selon profil
56,Data contrôleur H/F,"
Actualisé le 24 janvier 2023
",91 - DOURDAN,"agile, outils, git, tableau","
BAKER TILLY STREGO
","CDD
 - Temps plein",Salaire brut : Selon profil
57,Architecte Big Data  (H/F),"
Actualisé le 23 janvier 2023
",93 - ST DENIS,"big data, recette, hadoop, scala, unix, cloud, moe, unix, devops, spark","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
58,PRODUCT OWNER PLATEFORME BIG DATA (H/F),"
Actualisé le 17 janvier 2023
",93 - ST DENIS,"agile, big data, support, power bi, cloud, sécurité, spark","
SNCF
","CDI
 - Temps plein",Salaire brut : à définir selon profil
59,Ingénieur d'études en Génie Electrique et DATA        (H/F),"
Actualisé le 16 janvier 2023
",93 - Seine Saint Denis,"git, réseaux","
SNCF
","Intérim
 - Temps plein",Salaire brut : à définir selon profil
60,data manager (h/f),"
Actualisé le 25 janvier 2023
",95 - NEUVILLE SUR OISE,"outils, qlik, tableau, qlikview","
SAPEURS POMPIERS DU VAL D OISE
","CDI
 - Temps plein",Salaire brut : SELON GRILLE FONCTION PUBLIQUE
61,Développeur / Développeuse informatique,"
Actualisé le 13 janvier 2023
",75 - PARIS 20,"test, big data, hadoop, java, scala, sécurité, spark","
IT SERVICES
","CDI
 - Temps plein",Salaire brut : Selon profil
62,Technical Project Manager (H/F),"
Actualisé le 23 janvier 2023
",92 - PUTEAUX,"python, test, tableau, excel",,"CDI
 - Temps plein",Salaire brut : selon diplôme +expérience
63,Europe Beauty Retail Deputy (H/F),"
Actualisé le 13 janvier 2023
",92 - PUTEAUX,"marketing, git, support, acquisition",,"CDD
 - Temps plein",Salaire brut : selon diplôme +expérience
64,Data Engineer Confirmé (H/F),"
Publié le 25 janvier 2023
",75 - PARIS 10,"sql, recette, machine learning, sas, power bi, excel","
Link Consulting
","CDI
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 70000,00 Euros"
65,Data Engineer H/F,"
Publié le 25 janvier 2023
",92 - COURBEVOIE,"python, sql, agile, test, big data, outils, nosql, hadoop, git, bases de données, support, java, scala, unix, linux, unix, excel, spark","
Inetum
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros"
66,Consultant Chef de projet data -  H/F,"
Publié le 25 janvier 2023
",92 - NEUILLY SUR SEINE,"data management, bases de données, sécurité, excel",,"CDD
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros"
67,Consultant(e) Senior Data Scientist secteur Banquessurance -  () H/F,"
Publié le 25 janvier 2023
",75 - PARIS 11,"test, outils, validation, data management, data quality",,"CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros"
68,Consultant Senior Data Management /   -  () H/F,"
Publié le 25 janvier 2023
",75 - PARIS 11,"data management, data quality",,"Intérim
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 50000,00 Euros"
69,Data quality manager  H/F,"
Publié le 25 janvier 2023
",92 - COURBEVOIE,"test, outils, communication, support, ios, data quality",,"Intérim
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros"
70,Data Architecte H/F,"
Publié le 24 janvier 2023
",92 - COURBEVOIE,"sql, agile, git, excel","
Inetum
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros"
71,Data scientist (H/F),"
Publié le 23 janvier 2023
",93 - ST DENIS,"python, sql, outils, machine learning, git, postgresql, cloud",,"CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros"
72,Data manager (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"outils, marketing, data management, business intelligence, machine learning, sap, power bi, oracle, cloud, qlik, tableau, qlikview, excel",,"Intérim
 - Temps plein","Salaire brut : Annuel de 69000,00 Euros à 70000,00 Euros"
73,Data scientist (H/F),"
Publié le 23 janvier 2023
",Ile-de-France,"python, sql, test, outils, nosql, machine learning, cloud, ios, spark, nlp, tensorflow",,"CDI
 - Temps plein","Salaire brut : Annuel de 51500,00 Euros à 52500,00 Euros"
74,Data scientist (H/F),"
Publié le 23 janvier 2023
",75 - PARIS 01,"python, outils, communication, marketing, business intelligence, sas, qlik",,"CDI
 - Temps plein","Salaire brut : Annuel de 30000,00 Euros à 31000,00 Euros"
75,Data manager (H/F),"
Publié le 23 janvier 2023
",93 - AUBERVILLIERS,"git, support, web, ios",,"CDI
 - Temps plein","Salaire brut : Annuel de 29000,00 Euros à 40000,00 Euros"
76,Data analyst (H/F),"
Publié le 21 janvier 2023
",92 - NANTERRE,excel,,"CDI
 - Temps plein","Salaire brut : Annuel de 116991,00 Euros à 117250,00 Euros"
77,Data analyst (H/F),"
Publié le 21 janvier 2023
",75 - PARIS 09,"test, outils, bases de données, support, sap, tableau",,"CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros"
78,Data manager (H/F),"
Publié le 21 janvier 2023
",75 - PARIS 09,"python, sql, agile, nosql, machine learning, cloud, ios, spark",,"CDI
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 65000,00 Euros"
79,Responsable Data (H/F),"
Publié le 21 janvier 2023
",92 - GENNEVILLIERS,"outils, business intelligence, tableau, crm",,"CDI
 - Temps plein","Salaire brut : Annuel de 65000,00 Euros à 70000,00 Euros"
80,Chef de projet data (H/F),"
Publié le 21 janvier 2023
",75 - PARIS 09,,,"CDI
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 55000,00 Euros"
81,Data Manager H/F,"
Publié le 21 janvier 2023
",75 - Paris (Dept.),"sql, git, bases de données, qlik, sécurité, talend, etl","
MP
","CDI
 - Temps plein","Salaire brut : Annuel de 48000,00 Euros à 50000,00 Euros"
82,Chef de Projet Data Management H/F,"
Publié le 21 janvier 2023
",91 - Essonne,"data management, bases de données, salesforce","
MP
","CDI
 - Temps plein","Salaire brut : Annuel de 43000,00 Euros à 48000,00 Euros"
83,Data Analyst Finance H/F,"
Publié le 21 janvier 2023
",75 - Paris (Dept.),"test, outils, bases de données, support, sap, tableau","
MP
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros"
84,Data Analyst H/F,"
Publié le 21 janvier 2023
",75 - Paris (Dept.),"outils, excel","
MP
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 46000,00 Euros"
85,Responsable de département DATA (H/F),"
Publié le 18 janvier 2023
",92 - NANTERRE,"sql, big data, outils, communication, bases de données, excel","
FREELANCR
","CDI
 - Temps partiel","Salaire brut : Annuel de 80000,00 Euros à 90000,00 Euros"
86,Data Officer H/F - Guyancourt - CDI,"
Publié le 17 janvier 2023
",78 - GUYANCOURT,"agile, sas","
Robert Half International
","CDI
 - Temps plein","Salaire brut : Annuel de 50000,00 Euros à 60000,00 Euros"
87,Consultant en Transformation Data/IA - Financial Services H/F,"
Publié le 14 janvier 2023
",93 - ST OUEN SUR SEINE,"data management, data quality","
GFI
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 58000,00 Euros"
88,Data manager (H/F),"
Publié le 13 janvier 2023
",75 - PARIS 01,"python, sql, communication, git, qlik, crm",,"CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 65000,00 Euros"
89,Data manager (H/F),"
Publié le 13 janvier 2023
",94 - IVRY SUR SEINE,"support, sap, excel",,"CDI
 - Temps plein","Salaire brut : Annuel de 39000,00 Euros à 40000,00 Euros"
90,Data manager (H/F),"
Publié le 13 janvier 2023
",94 - IVRY SUR SEINE,"support, sap, excel",,"CDI
 - Temps plein","Salaire brut : Annuel de 39000,00 Euros à 40000,00 Euros"
91,Data manager (H/F),"
Publié le 13 janvier 2023
",78 - GUYANCOURT,"outils, marketing, support, sap, power bi, qlik, excel, salesforce",,"CDI
 - Temps plein","Salaire brut : Annuel de 20000,00 Euros à 20000,00 Euros"
92,Data scientist (H/F),"
Publié le 13 janvier 2023
",75 - PARIS 01,"sql, outils, git, tableau, excel",,"CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 40000,00 Euros"
93,Data analyst (H/F),"
Publié le 12 janvier 2023
",92 - NEUILLY SUR SEINE,"data management, bases de données, sécurité, excel","
Cometh Consulting
","CDI
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros"
94,Ingénieur / Ingénieure de recherche Data engineer H/F,"
Publié le 12 janvier 2023
",91 - SACLAY,"python, sql, big data, outils, intelligence artificielle, nosql, hadoop, bases de données, java, cloud, c#, spark",,"CDI
 - Temps plein","Salaire brut : Annuel de 37700,00 Euros à 45000,00 Euros"
95,Data miner (H/F),"
Actualisé le 24 janvier 2023
",75 - PARIS 01,"python, sql, big data, outils, marketing, sas, vba, excel",,"CDI
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 70000,00 Euros"
96,Data scientist (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 01,"outils, intelligence artificielle",,"CDI
 - Temps plein","Salaire brut : Annuel de 64450,00 Euros à 65000,00 Euros"
97,Data scientist (H/F),"
Actualisé le 13 janvier 2023
",75 - PARIS 01,"python, outils, intelligence artificielle, machine learning, java, talend, etl",,"CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 45000,00 Euros"
98,Data scientist (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 01,"python, agile, intelligence artificielle, bases de données, sas, ios",,"CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 47000,00 Euros"
99,Data manager (H/F),"
Actualisé le 16 janvier 2023
",75 - PARIS 01,"data management, support",,"CDI
 - Temps plein","Salaire brut : Annuel de 48000,00 Euros à 58000,00 Euros"
100,Data scientist (H/F),"
Actualisé le 16 janvier 2023
",Ile-de-France,"python, sql, test, cloud",,"CDI
 - Temps plein","Salaire brut : Annuel de 42000,00 Euros à 48000,00 Euros"
101,Data miner (H/F),"
Publié le 11 janvier 2023
",77 - REAU,"vba, excel",,"CDD
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 35000,00 Euros"
102,Data manager (H/F),"
Publié le 11 janvier 2023
",93 - BOBIGNY,"outils, data management, machine learning, support, excel",,"CDD
 - Temps plein","Salaire brut : Annuel de 70000,00 Euros à 90000,00 Euros"
103,Délégué / Déléguée à la protection des données - Data Protection Officer (H/F),"
Actualisé le 13 janvier 2023
",92 - PUTEAUX,excel,,"CDI
 - Temps plein","Salaire brut : Annuel de 80000,00 Euros à 95000,00 Euros"
104,Data Privacy Officer H/F - Ivry-sur-Seine - CDI,"
Publié le 11 janvier 2023
",94 - IVRY SUR SEINE,"big data, outils, communication, iaas, paas, saas, acquisition, sas","
Robert Half International
","CDD
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 60000,00 Euros"
105,Data manager (H/F),"
Publié le 10 janvier 2023
",92 - NEUILLY SUR SEINE,"python, sql, test, intelligence artificielle, saas, réseaux sociaux, réseaux, scala, web, postgresql, devops, spark","
Seyos
","CDI
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 70000,00 Euros"
106,Data scientist (H/F),"
Publié le 10 janvier 2023
",75 - PARIS 18,"sql, test, tableau, data quality","
DYNAMIS RH
","CDI
 - Temps plein","Salaire brut : Annuel de 60000,00 Euros à 70000,00 Euros"
107,Data manager (H/F),"
Actualisé le 12 janvier 2023
",78 - MONTIGNY LE BRETONNEUX,"python, sas, power bi, tableau, excel","
QR Versailles IT
","CDI
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 45000,00 Euros"
108,Data manager (H/F),"
Publié le 09 janvier 2023
",94 - RUNGIS,"sql, agile, recette, marketing, git, scrum, qlik",,"CDI
 - Temps plein","Salaire brut : Mensuel de 4000,00 Euros à 4800,00 Euros"
109,Data scientist (H/F),"
Publié le 09 janvier 2023
",92 - ISSY LES MOULINEAUX,"python, test, intelligence artificielle, tensorflow",,"CDD
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 50000,00 Euros"
110,Data scientist (H/F),"
Publié le 09 janvier 2023
",92 - ISSY LES MOULINEAUX,"python, test, intelligence artificielle, tensorflow",,"CDD
 - Temps plein","Salaire brut : Annuel de 45000,00 Euros à 50000,00 Euros"
111,Data manager (H/F),"
Publié le 09 janvier 2023
",75 - PARIS 01,"big data, outils, communication, data management, git, support",,"CDI
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 60000,00 Euros"
112,Data manager (H/F),"
Publié le 09 janvier 2023
",94 - IVRY SUR SEINE,"support, sap, excel",,"CDI
 - Temps plein","Salaire brut : Annuel de 39000,00 Euros à 40000,00 Euros"
113,Business Analyst Data H/F,"
Publié le 07 janvier 2023
",75 - Paris (Dept.),"marketing, support, excel","
MP
","CDI
 - Temps plein","Salaire brut : Annuel de 155988,00 Euros à 207984,00 Euros"
114,Data scientist (H/F),"
Publié le 05 janvier 2023
",75 - PARIS 09,"python, machine learning, git, npl, keras",,"CDI
 - Temps plein","Salaire brut : Annuel de 66000,00 Euros"
115,Data scientist (H/F),"
Publié le 05 janvier 2023
",75 - PARIS 01,"python, machine learning, git, npl, keras",,"CDI
 - Temps plein","Salaire brut : Annuel de 66000,00 Euros à 66000,00 Euros"
